month,date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,day,nat_region,flag_ind,pcp_ideam,pcp_ideam_flag,na_count_ideam,chirpv2,chirpv3,chirpsv2,chirpsv3_era5,chirpsv3_imerg,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,pentad_id,factor,pcp_ideam_flag_scale
01,2001-01-01,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,01,Andes,Preliminar,0,0,0,0.0189688019454479,0.0189688019454479,0,0.0732635781168938,0.202900350093842,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,1,1.07000005245209,0
01,2001-01-02,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,02,Andes,Preliminar,0,0,0,0,0,0,0.0375640988349915,0.392781496047974,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,1,1.07000005245209,0
01,2001-01-03,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,03,Andes,Preliminar,0,0,0,0,0,0,0.0774403214454651,0.0176441762596369,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,1,1.07000005245209,0
01,2001-01-04,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,04,Andes,Preliminar,0,0,0,0.0189688019454479,0.0189688019454479,0,0.111458316445351,0.0253826249390841,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,1,1.07000005245209,0
01,2001-01-05,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,05,Andes,Preliminar,0,0,0,1.57441031932831,1.57441031932831,0,0.342949420213699,0.00396713381633163,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,1,1.07000005245209,0
01,2001-01-06,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,06,Andes,Preliminar,0,0,0,0.890161335468292,0.890161335468292,0,0.0527569614350796,0.0279379580169916,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,2,1.07000005245209,0
01,2001-01-07,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,07,Andes,Preliminar,0,0,0,0.00335909961722791,0.00335909961722791,0,0.00436413707211614,0.00334480870515108,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,2,1.07000005245209,0
01,2001-01-08,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,08,Andes,Preliminar,0,0,0,0.00167954980861396,0.00167954980861396,0,0.00381082133390009,0.0144795011729002,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,2,1.07000005245209,0
01,2001-01-09,24010070,,"",LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,09,Andes,Preliminar,0,0,0,0.774272382259369,0.774272382259369,0,0.00941450614482164,0,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,2,1.07000005245209,0
01,2001-01-10,24010070,0.1,Definitivo,LETICIA [24010070],Pluviométrica,Convencional,Activa,Cundinamarca,Lenguazaque,5.3032,-73.7098,2650,2/15/1974,,Guarino,Magdalena Cauca,Sogamoso,Río Suárez,2001,10,Andes,Definitivo,0.1,0.1,0,0.685256242752075,0.685256242752075,0,0.0239771865308285,0.0485613457858563,4.49818181991577,9.04363632202148,8,14,0.844202876091003,2.37318849563599,2,3,2,1.07000005245209,0.107000005245209
