month,date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,day,nat_region,flag_ind,pcp_ideam,pcp_ideam_flag,na_count_ideam,chirpv2,chirpv3,chirpsv2,chirpsv3_era5,chirpsv3_imerg,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,pentad_id,factor,pcp_ideam_flag_scale
01,2001-01-14,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,14,Caribe,Preliminar,0,0,0,0.227932795882225,0.227932795882225,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,3,1.10000002384186,0
01,2001-01-15,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,15,Caribe,Preliminar,0,0,0,0.227932795882225,0.227932795882225,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,3,1.10000002384186,0
01,2001-01-16,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,16,Caribe,Preliminar,0,0,0,0,0,0,0.0833736732602119,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,4,1.10000002384186,0
01,2001-01-17,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,17,Caribe,Preliminar,0,0,0,0,0,0,0.325003862380981,0.141742810606956,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,4,1.10000002384186,0
01,2001-01-18,25027410,5,Preliminar,REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,18,Caribe,Preliminar,5,5,0,3.3690242767334,3.3690242767334,7.17580413818359,0.41292530298233,0.567568719387054,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,4,1.10000002384186,5.50000011920929
01,2001-01-19,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,19,Caribe,Preliminar,0,0,0,0,0,0,0.210642516613007,0.249731689691544,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,4,1.10000002384186,0
01,2001-01-20,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,20,Caribe,Preliminar,0,0,0,0,0,0,1.32559239864349,1.39849460124969,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,4,1.10000002384186,0
01,2001-01-21,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,21,Caribe,Preliminar,0,0,0,0.377141028642654,0.377141028642654,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,5,1.10000002384186,0
01,2001-01-22,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,22,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,5,1.10000002384186,0
01,2001-01-23,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,23,Caribe,Preliminar,0,0,0,0.691425204277039,0.691425204277039,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,5,1.10000002384186,0
