month,date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,day,nat_region,flag_ind,pcp_ideam,pcp_ideam_flag,na_count_ideam,chirpv2,chirpv3,chirpsv2,chirpsv3_era5,chirpsv3_imerg,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,pentad_id,factor,pcp_ideam_flag_scale
01,2001-01-01,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,01,Caribe,Preliminar,0,0,0,4.03405094146729,4.03405094146729,0,2.49513745307922,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,1,1.08000004291534,0
01,2001-01-02,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,02,Caribe,Preliminar,0,0,0,2.40995264053345,2.40995264053345,0,1.19383156299591,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,1,1.08000004291534,0
01,2001-01-03,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,03,Caribe,Preliminar,0,0,0,2.95481109619141,2.95481109619141,7.03631162643433,0.25432276725769,5.39838409423828,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,1,1.08000004291534,0
01,2001-01-04,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,04,Caribe,Preliminar,0,0,0,0.722985804080963,0.722985804080963,0,1.00207543373108,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,1,1.08000004291534,0
01,2001-01-05,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,05,Caribe,Preliminar,0,0,0,2.38899636268616,2.38899636268616,0,0.453016668558121,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,1,1.08000004291534,0
01,2001-01-06,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,06,Caribe,Preliminar,0,0,0,0,0,0,0,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,2,1.08000004291534,0
01,2001-01-07,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,07,Caribe,Preliminar,0,0,0,0,0,0,0,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,2,1.08000004291534,0
01,2001-01-08,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,08,Caribe,Preliminar,0,0,0,0.0207237005233765,0.0207237005233765,0,0,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,2,1.08000004291534,0
01,2001-01-09,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,09,Caribe,Preliminar,0,0,0,0.735691368579865,0.735691368579865,0,0,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,2,1.08000004291534,0
01,2001-01-10,25010100,,"",SAN FRANCISCO [25010100],Pluviométrica,Convencional,Activa,Córdoba,Montelíbano,8.1292,-75.76,160,12/15/1973,,Turbo,Caribe,Sinú,Medio Sinú,2001,10,Caribe,Preliminar,0,0,0,2.19325828552246,2.19325828552246,0,0,0,0.570909082889557,0.807272732257843,1,1,0.568840563297272,0.804347813129425,1,1,2,1.08000004291534,0
