gauge_code,category,tecnology,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,nat_region,hidrographic_area,hidrographic_zone,hidrographic_subzone,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,factor,year,month,pentad_id,pcp_ideam,pcp_ideam_flag,pcp_ideam_flag_scale,na_count_ideam,chirpv2,date,chirpv3,chirpsv2,chirpsv3
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,03,14,16.8,16.8,17.8079990386963,0,28.1690330505371,2001-03-01,38.6247825622559,27.8153381347656,34.6895179748535
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,03,15,99,99,104.939994335175,0,17.0495491027832,2001-03-01,13.3038873672485,33.4271812438965,28.1662654876709
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,03,16,0,0,0,0,25.4937686920166,2001-03-01,23.6988906860352,39.0712966918945,38.1395072937012
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,03,17,0,0,0,0,12.4629211425781,2001-03-01,12.3015022277832,26.8978042602539,43.1004867553711
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,03,18,0,0,0,0,44.873664855957,2001-03-01,53.9005279541016,16.8789863586426,20.4351005554199
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,19,1,1,1.05999994277954,0,20.708625793457,2001-04-01,17.4961414337158,16.1742382049561,21.2033882141113
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,20,5.2,5.2,5.51199970245361,0,11.921181678772,2001-04-01,8.1533374786377,9.09470844268799,9.46243095397949
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,21,2.9,2.9,3.07399983406067,0,7.59124517440796,2001-04-01,1.49215722084045,3.79534864425659,1.22739887237549
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,22,5.6,5.6,5.93599967956543,0,17.308385848999,2001-04-01,12.1339321136475,25.4239082336426,26.5755767822266
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,23,0,0,0,0,30.5301113128662,2001-04-01,35.9801712036133,18.2463130950928,20.8270721435547
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.05999994277954,2001,04,24,0,0,0,0,12.4030065536499,2001-04-01,8.81690311431885,4.57552862167358,3.75311183929443
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.07000005245209,2001,05,25,0,0,0,0,13.8733263015747,2001-05-01,8.27799510955811,8.38624668121338,8.27187919616699
21080080,Pluviográfica,Convencional,Huila,Teruel,2.7931,-75.632,1800,11/15/1975,,Andes,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,3.24000000953674,4.93454551696777,5,6,1.30072462558746,1.73550724983215,2,2,1.07000005245209,2001,05,26,3.2,3.2,3.42400016784668,0,56.0401992797852,2001-05-01,81.4632797241211,50.5602149963379,56.8936004638672
