gauge_code,category,tecnology,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,nat_region,hidrographic_area,hidrographic_zone,hidrographic_subzone,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,factor,year,month,pcp_ideam,pcp_ideam_flag,pcp_ideam_flag_scale,na_count_ideam,chirpv2,date,chirpv3,chirpsv2,chirpsv3
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.17999994754791,2001,01,0,0,0,0,8.65169143676758,2001-01-01,6.92785930633545,5.24048328399658,4.39011240005493
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.1599999666214,2001,02,0,0,0,0,4.54615354537964,2001-02-01,0,3.12538242340088,0
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.1599999666214,2001,03,9,9,10.4399996995926,0,30.0433559417725,2001-03-01,23.1690177917481,32.6421127319336,28.8203392028809
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.10000002384186,2001,04,75.8,75.8,83.3800018072128,0,106.574195861816,2001-04-01,78.0777130126953,85.2186889648438,70.3031387329102
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.07000005245209,2001,05,90.6,90.6,96.9420047521591,0,127.379043579102,2001-05-01,98.2043991088867,127.417358398438,116.913299560547
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.05999994277954,2001,06,37.6,37.6,39.8559978485107,0,97.2635192871094,2001-06-01,83.4069366455078,69.6616134643555,66.5185317993164
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.07000005245209,2001,07,134.5,134.5,143.915007054806,0,123.498374938965,2001-07-01,106.633941650391,141.476531982422,128.970581054688
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.07000005245209,2001,08,109.3,109.3,116.951005733013,0,174.93896484375,2001-08-01,128.515563964844,122.640098571777,108.072135925293
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.05999994277954,2001,09,135.9,135.9,144.05399222374,0,156.74592590332,2001-09-01,132.227478027344,146.245391845703,130.461700439453
29050020,Pluviométrica,Convencional,Magdalena,Salamina (Magdalena),10.4875,-74.79,15,11/15/1984,,Caribe,Magdalena Cauca,Bajo Magdalena,Cga Grande de Santa Marta,4.44363641738892,6.28363656997681,6,7,0.855072438716888,0.949275374412537,1,1,1.04999995231628,2001,10,165,165,173.249992132187,0,157.924041748047,2001-10-01,149.194732666016,169.192718505859,152.81640625
