gauge_code,category,tecnology,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,nat_region,hidrographic_area,hidrographic_zone,hidrographic_subzone,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,factor,year,month,pcp_ideam,pcp_ideam_flag,pcp_ideam_flag_scale,na_count_ideam,chirpv2,date,chirpv3,chirpsv2,chirpsv3
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12000000476837,2001,01,14,14,15.6800000667572,0,19.9675807952881,2001-01-01,16.6716632843018,17.7417125701904,17.5801753997803
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12999999523163,2001,02,0,0,0,0,14.9682102203369,2001-02-01,12.2629318237305,7.83422899246216,7.96997737884522
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12000000476837,2001,03,165,165,184.800000786781,0,38.9395141601563,2001-03-01,43.9032554626465,78.7129364013672,92.7715225219727
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.07000005245209,2001,04,49,49,52.4300025701523,0,113.901931762695,2001-04-01,134.377014160156,53.9933013916016,64.6084442138672
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.05999994277954,2001,05,299,299,316.939982891083,0,173.579956054688,2001-05-01,246.807434082031,268.438629150391,271.942230224609
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.04999995231628,2001,06,19,19,19.9499990940094,0,140.040832519531,2001-06-01,149.287612915039,68.3587341308594,75.9869842529297
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.05999994277954,2001,07,122,122,129.319993019104,0,137.844650268555,2001-07-01,173.377365112305,131.184204101563,139.050582885742
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.04999995231628,2001,08,106,106,111.299994945526,0,127.789947509766,2001-08-01,144.682601928711,111.077156066895,114.415344238281
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.04999995231628,2001,09,248,248,260.399988174439,0,210.923797607422,2001-09-01,247.462860107422,287.122009277344,282.449584960938
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.03999996185303,2001,10,196,196,203.839992523193,0,256.68115234375,2001-10-01,254.245803833008,218.915802001953,227.7275390625
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.04999995231628,2001,11,94,94,98.6999955177307,0,228.962966918945,2001-11-01,141.768920898438,212.849304199219,147.48860168457
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.10000002384186,2001,12,260,260,286.000006198883,0,75.0073623657227,2001-12-01,229.537048339844,135.825561523438,202.470031738281
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12000000476837,2002,01,0,0,0,0,12.928596496582,2002-01-01,1.17548680305481,10.6665706634521,1.59655237197876
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12999999523163,2002,02,0,0,0,0,17.8980274200439,2002-02-01,18.7458400726318,16.8788719177246,20.0556030273438
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.12000000476837,2002,03,74,74,82.8800003528595,0,37.5795402526856,2002-03-01,47.187801361084,46.7594985961914,54.3246917724609
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.07000005245209,2002,04,215,215,230.050011277199,0,128.046661376953,2002-04-01,150.718276977539,176.69059753418,194.318283081055
25020890,Pluviométrica,Convencional,Bolívar,Margarita,9.1194,-74.2219,20,9/15/1974,,Caribe,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2.27636361122131,3.23636364936829,4,4,0.557971000671387,0.822463750839233,1,1,1.05999994277954,2002,05,199,199,210.939988613129,0,143.288208007813,2002-05-01,193.975250244141,223.03987121582,218.945526123047
