gauge_code,v2_R10mm_KGE,v2_R10mm_r,v2_R10mm_B,v2_R10mm_G,v3_era_R10mm_KGE,v3_era_R10mm_r,v3_era_R10mm_B,v3_era_R10mm_G,v3_imerg_R10mm_KGE,v3_imerg_R10mm_r,v3_imerg_R10mm_B,v3_imerg_R10mm_G,v2_R20mm_KGE,v2_R20mm_r,v2_R20mm_Beta,v2_R20mm_Gamma,v3_era_R20mm_KGE,v3_era_R20mm_r,v3_era_R20mm_Beta,v3_era_R20mm_Gamma,v3_imerg_R20mm_KGE,v3_imerg_R20mm_r,v3_imerg_R20mm_Beta,v3_imerg_R20mm_Gamma,v2_Rx1_KGE,v2_Rx1_r,v2_Rx1_Beta,v2_Rx1_Gamma,v3_era_Rx1_KGE,v3_era_Rx1_r,v3_era_Rx1_Beta,v3_era_Rx1_Gamma,v3_imerg_Rx1_KGE,v3_imerg_Rx1_r,v3_imerg_Rx1_Beta,v3_imerg_Rx1_Gamma,v2_Rx5_KGE,v2_Rx5_r,v2_Rx5_Beta,v2_Rx5_Gamma,v3_era_Rx5_KGE,v3_era_Rx5_r,v3_era_Rx5_Beta,v3_era_Rx5_Gamma,v3_imerg_Rx5_KGE,v3_imerg_Rx5_r,v3_imerg_Rx5_Beta,v3_imerg_Rx5_Gamma,v2_CDD_KGE,v2_CDD_r,v2_CDD_Beta,v2_CDD_Gamma,v3_era_CDD_KGE,v3_era_CDD_r,v3_era_CDD_Beta,v3_era_CDD_Gamma,v3_imerg_CDD_KGE,v3_imerg_CDD_r,v3_imerg_CDD_Beta,v3_imerg_CDD_Gamma,v2_CWD_KGE,v2_CWD_r,v2_CWD_Beta,v2_CWD_Gamma,v3_era_CWD_KGE,v3_era_CWD_r,v3_era_CWD_Beta,v3_era_CWD_Gamma,v3_imerg_CWD_KGE,v3_imerg_CWD_r,v3_imerg_CWD_Beta,v3_imerg_CWD_Gamma,v2_r95_KGE,v2_r95_r,v2_r95_Beta,v2_r95_Gamma,v3_era_r95_KGE,v3_era_r95_r,v3_era_r95_Beta,v3_era_r95_Gamma,v3_imerg_r95_KGE,v3_imerg_r95_r,v3_imerg_r95_Beta,v3_imerg_r95_Gamma,v2_r99_KGE,v2_r99_r,v2_r99_Beta,v2_r99_Gamma,v3_era_r99_KGE,v3_era_r99_r,v3_era_r99_Beta,v3_era_r99_Gamma,v3_imerg_r99_KGE,v3_imerg_r99_r,v3_imerg_r99_Beta,v3_imerg_r99_Gamma,v2_rtotal_KGE,v2_rtotal_r,v2_rtotal_Beta,v2_rtotal_Gamma,v3_era_rtotal_KGE,v3_era_rtotal_r,v3_era_rtotal_Beta,v3_era_rtotal_Gamma,v3_imerg_rtotal_KGE,v3_imerg_rtotal_r,v3_imerg_rtotal_Beta,v3_imerg_rtotal_Gamma,v2_SDII_KGE,v2_SDII_r,v2_SDII_Beta,v2_SDII_Gamma,v3_era_SDII_KGE,v3_era_SDII_r,v3_era_SDII_Beta,v3_era_SDII_Gamma,v3_imerg_SDII_KGE,v3_imerg_SDII_r,v3_imerg_SDII_Beta,v3_imerg_SDII_Gamma,municipality,latitude,longitude,elevation,p_sd_q,p_def,p_rev,mean_gauges_v2,mean_gauges_v3,nat_region,map
1996,-0.0182598697119871,0.188488889819911,1.15470297029703,0.404710262727948,0.243884533339859,0.356233999792937,1.14232673267327,0.629839174051825,0.211446883006715,0.391461401560604,1.04166666666667,0.500239375882684,0.0397513593626129,0.131534428218326,0.857864357864358,0.615757288018929,0.289125138591957,0.389187177196168,0.636363636363636,0.995600099814687,0.440785730111659,0.609198184063383,0.857142857142857,0.626387397104853,-0.230886108062223,-0.142130120237805,0.619967419894969,0.742716814531426,-0.225255339819783,-0.0576074659512642,0.52028857272368,0.609367125984573,0.112319468201229,0.216356286789756,0.706649107151455,0.703647994868312,0.105974968106663,0.173329609753823,0.737002751265488,0.783830458435529,0.0965439978078876,0.221555584420712,0.669736673374055,0.681906971411916,0.471359739541532,0.530013990093643,0.784331405949963,1.10982136864189,0.0133695448336124,0.0996940346315223,0.877777777777778,0.615356590880816,-0.189818956854141,-0.0127887390162764,0.388888888888889,0.871659320214364,-0.441799995830216,-0.234195826368797,0.474074074074074,0.471843005737108,0.176558667626582,0.177196736687934,1.03056768558952,1.01077192376622,-3.45631063459288,-0.051832618938659,5.32314410480349,1.25055471024314,-0.338208840095802,0.156141602553409,2.0174672489083,0.79151426387303,0.0697180189220954,0.111733699957211,0.742271968697999,0.900081000767021,0.257830586472002,0.306745948749674,0.904853929220218,0.752691520532209,0.434746004626279,0.501086311371628,1.03741665439376,0.736946384630122,-0.105670113237176,-0.0590854318296142,0.688835406347252,0.936588305107744,0.0521740891617078,0.0922054415478411,0.886515428098273,0.752201192816894,0.267348531719477,0.327712876507335,0.9940817003847,0.708841673158352,0.0959930081139198,0.229641673547884,0.926922838175358,0.532628179428338,0.400089148761052,0.605308282557781,0.971284426588354,0.549126521671112,0.398714459183229,0.605084556580161,0.969824021513065,0.547589230382183,0.0195678616574094,0.259752038547306,0.828367549751148,0.380465952927742,-0.0190776030458528,0.316073691587033,0.515152626494473,0.420614989756307,0.00839072753716108,0.333661328126651,0.633673611451865,0.363535782110555,Brazil,-1.8211,-66.6,52,1.601,100,0,0.523636341,0.898181796,Amazonia,3350.412568
2001,-0.215438721156852,0.0316328729654348,1.51498771498772,0.476221377318662,0.0916283784513038,0.210625561358654,1.27862407862408,0.647302365664935,0.045446358115443,0.234632943495432,1.21474201474201,0.471538278437174,-0.0172756595410513,0.161273299159245,1.26315789473684,0.488008582855986,-0.055050134784111,0.0698403636076514,0.615311004784689,0.68385412434343,0.0866593174312436,0.296458683692071,0.967464114832536,0.418482816368048,-0.00303842807117749,0.0935419807827782,0.755702846954974,0.646816126361374,0.168071109803479,0.360173814367995,0.555261475001361,0.708562571200524,-0.297943385332022,-0.175620039982956,0.736454986779383,0.517176451357055,0.115287336590037,0.1574989314853,0.838408352790023,1.21632518554599,0.247055481736571,0.389178585925174,0.665758566827608,1.28654024506418,-0.0297471080238585,0.0230194745482921,0.742460629654656,1.19890106106738,-0.29448053269763,-0.27244434010903,0.99537037037037,0.762210560816659,-0.371955091848046,-0.211623932945249,0.356481481481481,0.989410595588178,-0.29134619751066,-0.18485568402099,0.509259259259259,0.848786458127515,-0.320292360796131,-0.317619600539524,1.05283018867925,0.934735327972911,-3.11078534647425,-0.0551139013040637,4.96981132075472,1.16090027243605,-0.134353086343443,0.357395680469923,1.84905660377359,1.39104922529861,-0.0195485438771998,0.126205247597444,0.82194708020208,0.505774219867772,0.260504595968841,0.539025615417102,0.852257464412096,0.440957772149829,0.0947655779432592,0.363282189550537,0.950419467452227,0.358453774444021,-0.18887975156892,-0.12344271474991,0.739498841162412,0.711121692385524,0.293089905738223,0.466421877716616,0.818234893876977,0.573411539085012,-0.104140332745412,0.0826107189768115,0.891009388501238,0.395315100185202,-0.113991442046211,0.139227857337995,1.2799259056814,0.350623577038937,0.0231420052375884,0.313056518263344,1.14826583073754,0.321488807559915,0.0234051358785605,0.311973557226427,1.14535798051727,0.322336218931055,-0.0188414710215601,0.220942172618303,1.15815873389162,0.362746000748143,-0.00311657485751171,0.419300628972964,0.634793464014307,0.268115248610821,0.0864196940131852,0.520048350453217,0.777612947430569,0.255138007122282,Brazil,-1.3947,-69.4283,82,4.766,100,0,0.50545454,0.50545454,Amazonia,2893.125212
5349,0.251488528307526,0.516641877432508,1.33898305084746,0.539864324528719,0.321580302751652,0.570086468503079,1.36069915254237,0.618786460883668,0.304326983935614,0.626734322715778,1.2833686440678,0.485863937268695,0.268808851907314,0.323455125482122,0.879824561403509,0.750029218165744,0.378404359683732,0.466090160498913,0.695614035087719,1.09311609800961,0.463624365571885,0.560159108268283,0.935087719298246,0.699957991303038,-0.0910084484625038,0.0112880545305655,0.635735000441224,0.71705277241321,-0.521442205593663,-0.103402525067155,0.568987274496563,1.95473414262361,0.192059700852499,0.346915921235576,0.683988797889775,0.644492428784102,-0.337593528686606,-0.297826948011253,0.723282061823826,0.831985584869601,0.366982086046272,0.430946964627831,0.740301151501784,1.09719480649063,-0.0924694295024771,-0.0743681015605815,0.802097126269133,0.992444252807003,0.236807468388732,0.259614424762216,1.06967213114754,0.828425426043391,-0.122315999347228,0.167515810856313,0.463114754098361,1.52755806310745,0.345581949939155,0.469351785093501,0.631147540983607,1.10306948985779,-0.169117809547257,-0.16566558671813,1.06382978723404,0.936865613146946,-4.23684929465005,-0.141760484132891,6.09042553191489,1.45666337249475,-0.803397245524899,-0.259096228226909,2.26063829787234,1.27876404927662,-0.125294518849081,-0.0935375324176063,0.738194497243521,1.04383261425267,0.328657620068537,0.334639902433474,0.932258801957419,0.941624819091855,0.140112284667736,0.160026013920573,1.03727273945561,0.819829723365221,-0.103774568826558,-0.0619834267253731,0.706870524636695,1.06770975426127,0.122237195219429,0.132882132505538,0.985035310274187,1.13546292256379,0.149657143317689,0.199450769219821,0.99615180948482,0.713313595652575,0.230856270288634,0.374904559228447,1.0067653527937,0.551901799956188,0.390889181175358,0.671977785366024,1.0899566181765,0.494702836776126,0.389256571299022,0.674825006662733,1.08900741901227,0.490739321397862,-0.239105779004325,-0.0908968005673007,0.87303582455667,0.426234019631753,0.0499098064948705,0.424136209461311,0.555202650443794,0.389092815258487,0.140505199345457,0.465892890814319,0.69566899469029,0.399297455077234,Brazil,-2.8903,-66.9492,58,2.365,100,0,0.50545454,0.865454555,Amazonia,2812.918258
5351,-0.101692340475006,-0.0117050574943913,1.33824362606232,1.27526376283445,-0.182869938323712,-0.0460669378259175,1.22492917847026,1.50431351087409,-0.0370052813059472,0.0214556012498881,1.20113314447592,1.27816590611439,-0.658543507675897,-0.104223974874921,0.765,2.21500246097088,-1.71810507248086,0.333068306391008,0.491666666666667,3.58551629724669,-0.196206778481658,0.286319561169076,0.7425,1.92480518927803,-0.387108796742877,-0.19592268231782,0.588405350064444,0.430412784497713,0.0788793395758729,0.24260506047814,0.537611544964603,0.752991714112996,-0.0616813861022079,0.116477673748454,0.677993452758497,0.507184164068799,0.059652315392887,0.283851182489717,0.614521559021652,0.527992573506006,-0.138600422049704,-0.0143018216469547,0.5796148102265,0.698538513381011,-0.183303788847129,-0.00437195466623146,0.665212735877242,0.471452631109469,-0.0774680655995943,-0.0612376185692242,0.828282828282828,1.07228666722092,-0.35730115420629,-0.209692753116786,0.430976430976431,1.23478084283462,0.0260851027998598,0.170148494301365,0.525252525252525,1.18566513054142,-0.400297926655711,-0.0353028448407348,1.94285714285714,0.998353481178604,-7.76792615775735,0.122662143669833,9.72380952380952,1.04421296219165,-1.5244551626072,0.718964444469802,3.46666666666667,1.45765537263047,-0.220234220764765,-0.168519345543251,0.876158478677706,0.671066313350021,0.228340770415182,0.360723340446829,1.11640173718242,0.583786167054855,0.233028212504458,0.43112285660019,1.22375724104902,0.536796787997416,-0.358306000604186,-0.306475363516032,0.875638711511051,0.649783515910003,0.146275054658057,0.281515225675623,1.19432409302685,0.581832499789322,0.106765039872938,0.292799606569341,1.28107277042581,0.532309509130373,0.0690068061979333,0.0977337966917559,0.989868351538424,0.770737323201202,0.346257389826519,0.380080999877006,1.01572754132743,0.793039911850771,0.343914617841344,0.379134584629697,1.01556052560549,0.788500508931555,-0.325985655268872,-0.266226959605471,0.615871470843113,0.914253175948786,-0.0792119410740066,0.177265181061193,0.362432426311181,0.714844918609179,-0.00251081514015228,0.182274837548187,0.470265980799769,0.763916620517035,Brazil,-2.75,-67.5667,100,0.848,100,0,0.523636341,0.523636341,Amazonia,2708.282529
5352,-0.234361417015514,0.1689453959758,1.76772793053546,0.506451443500769,-0.126335988334887,0.277748514021216,1.73371924746744,0.543226954039994,-0.235683429276571,0.172114265300408,1.63965267727931,0.342456693350894,-0.0991089657195956,-0.0118024426562947,0.856600189933523,0.595360864432451,0.134489997662974,0.358400200530318,0.643874643874644,0.541053388518346,0.0671665951857741,0.241695090284131,0.969610636277303,0.457571837373244,-0.235059399175701,0.00537904813861363,0.5310985453069,0.437654636902475,-0.266824164735376,0.0326204068578024,0.4797836307357,0.368814515155022,-0.325841392337529,-0.0566313066962336,0.619371152670438,0.295367216256938,-0.354367049002123,-0.14974998651897,0.516055444515133,0.472569683143923,-0.245584152813542,0.0159934308526368,0.491431362062431,0.430290517788767,-0.17004322990229,0.115508945023734,0.547267069245587,0.382173465349963,-0.199996005113092,-0.117410721557264,0.605,1.18803906944105,-0.511556809649801,-0.29650317175661,0.2275,1.0844231273037,0.0660574119772751,0.386925477431399,0.3325,0.774540164331058,-0.709698442125033,-0.301621940038077,2,0.521618260992044,-9.00300109137774,0.00861079636135258,10.9433962264151,0.546072951315984,-2.27062908532791,0.191548823486102,4.15094339622642,0.660917380623324,0.0918886071903322,0.231320975059632,0.968470015703468,0.517501587093077,0.0651748649394492,0.339765864865543,1.26130619886219,0.391963824776498,-0.0288776384928486,0.281456702835187,1.41647883420681,0.392686155478175,0.0919394256881211,0.283288177002511,1.02782785023822,0.443112416958006,0.00972927019992398,0.227206244115205,1.46551980970386,0.591689779778259,-0.150555433778788,0.114636706676514,1.57045457519726,0.536868028883996,-0.0486435360812347,0.234378682178323,1.14259133803197,0.297757183176498,-0.0705445821797524,0.276659314698792,1.25222116056592,0.252184219486389,-0.0666875300631877,0.28264386387622,1.25040140055215,0.251320095528547,-0.207115602439278,0.0867106407155556,0.555779872556778,0.347543792853131,-0.255056807633731,0.202545989806556,0.357252989427252,0.274664924042714,-0.277765003277256,0.0894957181097079,0.457649891752079,0.286192101232385,Brazil,-2.8806,-68.7986,84,2.043,100,0,0.516363621,0.516363621,Amazonia,1871.669337
5354,0.365391601897708,0.427010933533514,1.2317720907774,1.14385077889429,0.148142249316313,0.31206479306749,1.10622887493964,1.49104195807655,0.328969123906395,0.335219860266896,1.06808305166586,1.0609467026446,-0.197054194765718,0.387114381113343,0.862459546925566,2.01901549896761,-0.432470223710344,0.0906281775868087,0.518608414239482,1.99663231513766,-0.127658503369978,0.167403485740852,0.801779935275081,1.73423807488211,0.00707473676813186,0.0958039598579388,0.672805136019411,0.752464910890971,-0.0081837429382392,0.111087792880731,0.533925526078198,0.904899356901105,-0.111653011071537,-0.00811288499052503,0.69967680718545,0.640435252008527,0.188890206483448,0.251139753719773,0.737321043509322,0.832347995846905,-0.116665120825455,-0.0562301040785258,0.640336056289879,1.04428099932565,0.212312870660024,0.322750908981825,0.696834076489413,0.735661003132565,-0.196746451990322,-0.179576657289701,0.940520446096654,0.806963312823344,-0.0722659208333323,0.160583298095138,0.342007434944238,0.889638820797091,-0.168538477174826,-0.0160139236488687,0.498141263940521,0.714805875533042,-0.125951908605603,-0.0574102164095384,1.15294117647059,0.644668702103058,-5.11862198445885,-0.0464935369969615,7.02352941176471,1.24388458608987,-0.849949784086297,0.240225105458243,2.68235294117647,0.878571442486219,-0.263958850903897,-0.213406842528992,0.834909931721612,1.31301929754882,-0.0120833557987325,0.0281061500637528,0.981426693927787,0.718237518745893,0.414327794907933,0.438249992706087,1.08471363511898,0.85761860673662,0.0956505085905643,0.117008029120946,0.811649808861363,0.948063620903382,0.0111438656089764,0.0845560001385254,0.9892192273742,0.626258762534861,0.48813729064359,0.587912726722827,1.05904534319818,0.702172600522923,0.132296979136987,0.137497426634607,1.00762882015713,1.09454969305018,0.30805976137819,0.310324466954348,1.00225389374035,0.944108382513921,0.309570331825391,0.312004904305995,0.999882317190042,0.942070205011121,0.139784873269184,0.204221712083412,0.783115470829533,0.755729490638837,0.11322741332729,0.407748887064808,0.457173412180024,0.624575526560991,0.218617990921327,0.462238578658167,0.571990789728712,0.628276159291358,Brazil,-2.9297,-69.6931,101,0.968,100,0,0.563636363,0.563636363,Amazonia,2624.986723
6347,-0.101130067135376,0.443568555728749,1.62574651625747,0.284938625034597,0.127098674388352,0.48305364656079,1.32116788321168,0.374240954748711,0.147965277002773,0.598234482832597,1.30192435301924,0.311967062225883,0.225969681642048,0.444925572490328,1.16523867809058,0.486471526665754,0.389424388673525,0.584839412984586,0.609547123623011,0.780931938739004,0.406163228302235,0.655736175473691,0.98531211750306,0.516358814149685,-0.197569770876763,-0.00622049985272316,0.558493618854726,0.52380069592453,-0.106154540554372,0.264506106818045,0.388649388558635,0.444232934970616,-0.296200472290153,0.0353310538074489,0.490889143519512,0.299746028621992,-0.309404564495303,-0.0625036067347303,0.564740278863127,0.370575362451807,-0.299252800493709,0.0352831573148871,0.437994434024569,0.335523516711803,-0.292132008140987,0.0746618077860059,0.495565995296121,0.252403389928095,-0.225803178349566,-0.0575823457860471,0.688607594936709,0.464138279028556,-0.143475873994531,0.142170704092799,0.29873417721519,0.717347882928757,-0.284582168068411,-0.0647471929126685,0.4,0.604443731304975,-0.100181689680581,-0.0343070243101689,1.2037037037037,0.685176984849495,-4.41133800293701,0.311719139217834,6.3641975308642,0.814977599783861,-0.778745301685923,-0.161789290853205,2.32716049382716,0.770161979748778,0.16951028146548,0.374724112802161,0.807889457277048,0.488300110557765,0.413880458661902,0.706156967881928,0.890684918937534,0.504780248509465,0.285898453985468,0.572230183882353,0.979907783148824,0.428554197442116,-0.31603975610975,-0.13776844842057,0.617444943159055,0.460467585843558,0.311360501582306,0.713569173137645,0.7029229066336,0.448704307289734,0.166237434147742,0.547934636757668,0.717141950798841,0.359072353868837,0.163723709101117,0.617464604954049,1.23406589705815,0.294140338246337,0.229128039338699,0.707917209355822,1.15250799359809,0.303097901400782,0.225812106908244,0.703620947434746,1.15091344656448,0.300892366901632,0.0226886162907446,0.434159717739305,0.872240730257655,0.213463360870112,-0.0675151862845804,0.557243993235886,0.476749687614046,0.181608344366525,-0.0636289278604929,0.443475035683578,0.598280034933681,0.187468443725795,Brazil,-3.1017,-67.9356,53,5.316,100,0,0.49454546,0.512727261,Amazonia,2286.250902
6348,-0.159963735836462,0.174167253151941,1.55294117647059,0.401859382709724,0.175452625706577,0.301418943124901,1.23962848297214,0.633337935452928,0.0763842461730435,0.303577300015019,1.23034055727554,0.438747194807047,0.0585652638773134,0.149240702165803,0.882874015748032,0.614267601386578,0.110914668136981,0.312348794497916,0.43996062992126,0.937036114578962,0.10113456602848,0.210903733035447,0.735236220472441,0.66060894104043,0.00938347414799678,0.106006326902421,0.698526324479106,0.69799000559499,-0.0682973618077525,0.189063025143039,0.477068021057804,0.541543217462275,-0.326834587894038,-0.160670977506557,0.66884120544357,0.44894033136706,-0.0656517011861295,-0.0359214266579187,0.750944636853822,0.978745068336039,0.262483067515477,0.421989531172053,0.569280355724504,0.844065040283242,-0.0422985152495901,0.0938750117866499,0.678996590208592,0.597159446518669,0.253111027770161,0.456672547418806,0.685393258426966,0.595449614674545,-0.0779057593406429,0.244457093182457,0.334269662921348,0.615501807194663,-0.113516734086987,0.148345554968967,0.418539325842697,0.579871796044151,-0.289247651717961,-0.170783972464304,1.45751633986928,0.713463447299307,-4.49045362463305,-0.064578251025169,6.38562091503268,0.917286571507971,-0.711303655100644,-0.0584361467297722,2.30718954248366,0.684518426404937,0.0181930727246123,0.259202865536764,0.887543218541641,0.365556999943239,0.133804020467238,0.442736646045791,0.957992265105062,0.338193094998682,-0.0117982561153203,0.252245409862058,1.09214886180862,0.324642782467665,-0.0621415614022114,0.0910808523241885,0.90744017769703,0.458295875277429,0.27926858213548,0.427473413625742,0.975903887594584,0.562865624826202,-0.0662584211424686,0.102249097590044,1.10522595039007,0.434422562999685,0.0747827892521021,0.427968548581914,1.18566161349549,0.29690920150603,0.0650299930761464,0.362726140502925,1.07955058552745,0.320498236800571,0.0616074940962417,0.35717277312579,1.07907984298993,0.320956533086257,-0.0935915381929793,0.0296850414607661,0.761254959247466,0.55566663510562,-0.224789755325865,0.0400949826842259,0.434743322233535,0.490905518863528,-0.112200619508451,0.121722737948876,0.541925604087691,0.494245991801808,Brazil,-3.3372,-67.4889,65,2.353,100,0,0.4909091,0.4909091,Amazonia,2495.475881
6349,0.0607666407525261,0.28980517660021,1.22115384615385,0.426524985486904,-0.0224103841653889,0.0674037256300914,1.09241452991453,0.59128648500293,-0.0692942322017496,0.0919371810563455,1.09561965811966,0.44352093224173,0.523411251106166,0.592961714493669,0.799645390070922,0.854004452176022,0.174727302153016,0.373455822196154,0.490248226950355,1.16932379910835,0.355754111711894,0.423854873273114,0.769503546099291,0.82684994292756,-0.0157547952625392,0.111826559052926,0.60234291671585,0.708839241983025,0.170732146597665,0.342066791986631,0.495373445049959,0.987307225716705,0.270254543861682,0.324869998009521,0.725029623057697,0.966545508955219,-0.020472373596389,0.144683728535014,0.635295863017821,0.579537357772695,0.123890777662859,0.206466982951916,0.634792860944656,1.06705569253812,0.234413042815398,0.306180516966727,0.693521273977083,1.10396491941991,0.0475398416692697,0.0655249109957096,1.10486891385768,0.848543167390394,-0.0185328659964807,0.109624405927259,0.50561797752809,0.984936253746077,0.360510100949785,0.529406942450683,0.580524344569288,0.892623654026528,-0.19617819932151,-0.120929234172981,0.914163090128755,0.591353500673037,-2.29591583474859,-0.110158197730978,4.10300429184549,0.955566560501785,-0.240117562345827,-0.03222117060527,1.63090128755365,0.72728295110868,0.402662964731897,0.518577577772496,0.671091758720292,0.870141023037377,0.0903967623428782,0.113827209371971,0.852031633431752,0.85793945796959,0.237086565911925,0.251955904755634,0.945254882283668,0.860465375019951,0.298380131898221,0.395558257990903,0.653120191312539,1.08120971713481,0.19102626570706,0.238625695783799,0.895236817965913,1.25253187391942,0.0801122950998855,0.0801287654796623,0.998058877222865,0.994848925277763,0.33428480624938,0.599221498173445,0.896748666726929,0.478566903772478,0.261503475813299,0.478161589064006,0.91800701535463,0.483919638450969,0.258205045688833,0.476484156644759,0.916136487723967,0.48119577169583,0.152774943314168,0.236424800605382,0.837263334811343,0.67097114207253,-0.165861280798701,0.0471027634508707,0.501745394589461,0.549487257860771,-0.167327231575272,-0.0221672711766447,0.630048332942058,0.574602892166002,Brazil,-3.4569,-68.9119,71,2.067,100,0,0.632727265,0.694545448,Amazonia,2873.00021
6350,-0.239379555360513,0.10380515073683,1.56563706563707,0.357387220499563,0.19303988596478,0.356501627053579,0.971042471042471,0.513938346322488,-0.0999964333415242,0.0691629042113724,1.06628056628057,0.41764156999199,-0.809890979450407,0.302686777370966,2.44819277108434,0.168016030910611,0.239846183701683,0.512814159095735,0.710843373493976,0.493174363115918,-0.0549602291692992,0.364821036544845,1.42168674698795,0.27084359913137,-0.239440367090878,0.0573674429847373,1.14325879791611,0.208082578264079,-0.288792420223322,0.00102804304747236,0.717230050502728,0.236401881020629,-0.0175792642263239,0.320960442219415,1.02996827853326,0.242718849941261,-0.396345880115487,-0.0770708615589787,0.635742437861369,0.189434392216822,-0.661764885762048,-0.406999839018205,0.464989406374974,0.296027235424909,-0.536609585837298,-0.258411607249154,0.543928857735408,0.245302471700655,0.0222105427126041,0.0553481173809164,0.944636678200692,0.753748206004611,0.0235821434072836,0.123220863856694,0.570934256055363,1.02351094362522,-0.0113622012166827,0.139680616879235,0.629757785467128,0.618391871608642,-0.173229162984294,-0.044142184618141,1.1195652173913,0.478523321741179,-2.64253091707636,0.620786153613205,4.60869565217391,0.681340258980204,-0.432053213862612,-0.0592867960462311,1.93478260869565,0.765757891196955,-0.114706788683601,0.166529259860314,1.04046346371737,0.260905650020038,-0.0347246939803549,0.251498118015331,0.99134223073473,0.285629530264936,-0.0478448024020981,0.281679312781039,1.08436286841067,0.241793546144656,-0.194517517601749,0.151421542627725,0.666630881520557,0.228215229234618,-0.0708474627113143,0.312560293869933,0.67105090996499,0.247714525598024,-0.253826617377636,0.0316112389669251,0.734312647930706,0.249190686725398,-0.180658651530584,0.219045583678904,1.46644377291073,0.247341207601087,-0.0178285289282327,0.319189644366927,1.13022855543324,0.254672758237866,-0.0219090465804799,0.314458281041951,1.12894849041351,0.253204888961405,-0.237609784550386,0.0987492978120723,1.14663839399686,0.164582540267057,-0.16533065913203,0.317326567308587,0.533055277277579,0.179076644666449,-0.18640497660313,0.211710478913582,0.693251995364871,0.168097324739014,Brazil,-3.5731,-69.3708,68,1.505,100,0,0.512727261,0.512727261,Amazonia,1884.596063
