date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3,r_chirps_v3,B_chirps_v3,G_chirps_v3,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3,kge_chirp_v3_scale,r_chirp_v3_scale,B_chirp_v3_scale,G_chirp_v3_scale,kge_chirps_v3_scale,r_chirps_v3_scale,B_chirps_v3_scale,G_chirps_v3_scale
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,2.23272728919983,2.90181827545166,4,4,0.79347825050354,0.938405811786652,1,1,0.357161891483328,0.404216574918257,0.77768690223889,0.905873326187428,0.307691928483706,0.323697746962181,0.989227067962945,0.852386747350026,0.627145132550646,0.764766033022714,0.969683274907577,0.712308100321759,0.626386608363337,0.805436313157527,1.07120659873945,0.689095579850536,264.124376752083,234.673424065356,142.62897986079,139.523530312164,0.209407577805009,0.256039214530247,0.989752657870705,0.73269171413019,0.498436016968004,0.70693719914067,1.06814126435212,0.598705355231472
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,1.16727268695831,2.42181825637817,2,3,0.590579688549042,0.800724625587463,1,1,0.298921969307286,0.393261309376652,1.12420194845193,0.671438830015803,0.227257444179612,0.300720674991108,0.955425609798222,0.67418930814187,0.584422924029354,0.774321777187822,1.13639958262607,0.678800996763562,0.560741783009956,0.750685259022588,1.04706820780362,0.641427099547674,121.798376631217,121.546712014444,82.5343479721434,80.2865738783536,0.221411233939682,0.296662977416148,0.920021664030788,0.675776365645862,0.563061350369356,0.748299670797934,1.00826838323987,0.642937034041304
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.5672727227211,0.570909082889557,1,1,0.56521737575531,0.568840563297272,1,1,0.309118862738554,0.405355239385995,0.736220443679494,0.767331351133553,0.324790001052912,0.390541342218814,0.905271277683576,0.725236180871681,0.485718232939813,0.653761396853801,0.834916571180188,0.65743317856072,0.642694015096208,0.817950909066155,1.07971781007355,0.703064373819328,305.500023553546,270.008117855203,234.794319716645,166.767052984524,0.221988128451364,0.325996992379763,0.921303198263924,0.619435640940985,0.538168425346278,0.776771953801506,1.08593980309828,0.604940519692329
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,1.16727268695831,2.42181825637817,2,3,0.572463750839233,0.826086938381195,1,1,0.360413276528634,0.490166969116666,1.37071228104455,0.891769402921834,0.42715687104535,0.449231084715777,1.13285297504068,0.915424948300138,0.542546710611318,0.789493052402557,1.40006262249288,0.929998320949782,0.639631868615427,0.76731906891356,1.24350079532004,0.871812102346345,105.446399572119,78.2209126130836,93.6748620707603,67.5956923878039,0.419490615020686,0.43312176158208,1.09675146865144,0.920757573415202,0.660605600785809,0.758083477842699,1.20157584384336,0.873381937686138
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,3.32727265357971,4.55636358261108,5,5,0.568840563297272,0.789855062961578,1,1,0.436816517945182,0.47652778262691,1.04104694480465,0.79636400018638,0.365998886693629,0.389757701521301,1.09982439252328,0.860011288031819,0.573429204798042,0.776274642157613,1.25877617699432,0.745157896340243,0.634712030996633,0.788187895561472,1.19378793648688,0.774130195944467,150.693511366834,177.563681209248,172.361883745762,143.586286549354,0.364251886682779,0.386292205827484,1.07681538927612,0.852902063479231,0.648210110291465,0.778097276240009,1.15905443267968,0.77815096318896
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,3.32727265357971,4.55636358261108,5,5,0.880434811115265,0.989130437374115,1,1,0.160509202407177,0.293900750502302,0.593976386857255,0.796742836110675,0.193603199338986,0.212309243804359,0.957154868972415,0.832717701272705,0.511218585353696,0.656504697559396,0.762756938717117,0.745767865174352,0.550458417106191,0.650504501225145,1.05930660070596,0.723552431373523,464.774482472347,327.784236499186,307.366788629927,226.192522176038,0.163361359757705,0.191790935955376,0.937634543354455,0.792942343874994,0.487579809698933,0.595414368309529,1.04021661405656,0.688122552896768
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,3.32727265357971,4.55636358261108,5,5,0.945652186870575,0.996376812458038,1,1,0.437857710218376,0.48943359557844,0.857947529031128,0.812524678614478,0.407313658727118,0.415595207207588,1.06204808009879,0.923200435881787,0.699769273509439,0.797495298827813,1.08238723622054,0.794226633307043,0.718391194526458,0.823368930908908,1.15112788477665,0.841049230278964,189.319553465988,202.608946653555,124.166779187134,145.089407634702,0.408057364972313,0.413659812107554,1.02969452075117,0.924372606397347,0.735687453583869,0.822618955632479,1.11606065473809,0.842117094928449
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.585454523563385,0.803636372089386,1,1,0.583333313465118,0.800724625587463,1,1,0.320484938935965,0.443922342966279,0.647784819775894,0.831290710450054,0.413061329924989,0.426729661336478,0.890858137397637,0.937181411463475,0.594117056908607,0.700657518978562,0.794920399239349,0.818128067310229,0.662057676364231,0.686794753077746,1.00645120813839,0.873248789677306,322.288376425649,241.750097838758,218.750465094672,173.896293651319,0.370939603772625,0.403358696091214,0.879741893780209,0.841021622664604,0.578378065962223,0.638943563578273,0.994341665531055,0.78235053817839
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,1.08000004291534,1.57818186283112,2,2,0.52173912525177,0.789855062961578,1,1,0.226364655310621,0.335677448534011,0.924934152059316,0.610702796517469,0.239794372472273,0.334909931711549,0.934348302005233,0.637705021095664,0.452422597007928,0.615740105616717,1.13030584903146,0.63229667999285,0.481867790897043,0.656284723909082,1.06617712066292,0.617977247022616,222.701857588805,223.80615425598,191.254869956523,174.02170647296,0.177287964737597,0.284224073079446,0.930579486326173,0.600374290506868,0.402494822830027,0.576922281377922,1.06238113417227,0.582715594767981
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.574545443058014,0.789090931415558,1,1,0.572463750839233,0.786231875419617,1,1,0.295105856945356,0.438158791748332,0.963289679918001,0.575897934427898,0.265829964533885,0.385698663345944,0.975369647100481,0.598711008776215,0.454725812056467,0.705903414801643,1.14117622317543,0.563078482308246,0.489611296620074,0.73408092155708,1.08390144140714,0.572514069953508,210.890411708494,219.187164062348,176.140001864945,163.877134488028,0.220150156638529,0.345940420677535,0.959329731927353,0.577249749636586,0.452662425233911,0.695130238087148,1.06555688249336,0.550183210429206
