date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,PODv2_i5,PODv3_era5_i5,PODv3_imerg_i5,FARv2_i5,FARv3_era5_i5,FARv3_imerg_i5,ETSv2_i5,ETSv3_era5_i5,ETSv3_imerg_i5,fBIASv2_i5,fBIASv3_era5_i5,fBIASv3_imerg_i5,PODv2_i4,PODv3_era5_i4,PODv3_imerg_i4,FARv2_i4,FARv3_era5_i4,FARv3_imerg_i4,ETSv2_i4,ETSv3_era5_i4,ETSv3_imerg_i4,fBIASv2_i4,fBIASv3_era5_i4,fBIASv3_imerg_i4,PODv2_i3,PODv3_era5_i3,PODv3_imerg_i3,FARv2_i3,FARv3_era5_i3,FARv3_imerg_i3,ETSv2_i3,ETSv3_era5_i3,ETSv3_imerg_i3,fBIASv2_i3,fBIASv3_era5_i3,fBIASv3_imerg_i3,PODv2_i2,PODv3_era5_i2,PODv3_imerg_i2,FARv2_i2,FARv3_era5_i2,FARv3_imerg_i2,ETSv2_i2,ETSv3_era5_i2,ETSv3_imerg_i2,fBIASv2_i2,fBIASv3_era5_i2,fBIASv3_imerg_i2,PODv2_i1,PODv3_era5_i1,PODv3_imerg_i1,FARv2_i1,FARv3_era5_i1,FARv3_imerg_i1,ETSv2_i1,ETSv3_era5_i1,ETSv3_imerg_i1,fBIASv2_i1,fBIASv3_era5_i1,fBIASv3_imerg_i1,id
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,0.207930859176411,0.226741230299949,0.248093543467209,0.763310185185185,0.733572281959379,0.727374301675978,-0.000436968170367128,0.0173593570093335,0.120928747246534,0.878495170310117,0.851042196237926,0.910015251652262,0.242255758538523,0.250198570293884,0.251787132644956,0.833696837513631,0.837879567678847,0.832275132275132,0.0104821291672451,0.00761613963273496,0.0886640958117984,1.45671167593328,1.54328832406672,1.5011914217633,0.188794153471376,0.394640682095006,0.317295980511571,0.805764411027569,0.793696275071633,0.806893995552261,-0.00241622919247792,0.0072560510303563,0.0962741985986525,0.971985383678441,1.91291108404385,1.64311814859927,0.00205973223480947,0.147270854788877,0.143151390319259,0.6,0.881720430107527,0.886623164763458,0.00145262057587757,0.000688802864951201,0.0581276218717928,0.00514933058702369,1.24510813594233,1.26261585993821,0.433769419460343,0.0678659035159444,0.127964022894522,0.660153747597694,0.477987421383648,0.540381791483113,0.0388489690121052,0.028799029354301,0.103028820990339,1.27636958299264,0.130008176614881,0.278413736713001,1
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,0.037344398340249,0.020746887966805,0.024896265560166,0.951086956521739,0.875,0.928571428571429,0.00904286195247106,0.0140107835976899,0.0186239505573917,0.763485477178423,0.16597510373444,0.348547717842324,0.182122905027933,0.100558659217877,0.137430167597765,0.843419788664745,0.789719626168224,0.832196452933152,0.0312517527970517,0.0373422142110844,0.0751229768511066,1.16312849162011,0.478212290502793,0.818994413407821,0.366788929643214,0.657552517505835,0.4594864954985,0.621212121212121,0.581937672249311,0.580645161290323,0.0164265442930215,0.0704117401656451,0.191936804377794,0.968322774258086,1.5728576192064,1.09569856618873,0.040495867768595,0.276859504132231,0.333057851239669,0.848765432098766,0.867221561632977,0.859679665738162,0.00157646205646205,-0.00952795647757246,0.0748459008645306,0.267768595041322,2.08512396694215,2.37355371900826,0.55946123521682,0.155716162943495,0.265768725361367,0.567327235772358,0.303964757709251,0.427864214992928,0.0713984691755517,0.075533593191182,0.191491246213842,1.29303547963206,0.223718791064389,0.464520367936925,1
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.177832919768404,0.216708023159636,0.244003308519438,0.789422135161606,0.720384204909285,0.767899291896145,0.0338457257127974,0.070251199076427,0.116346430808711,0.84449958643507,0.775020678246485,1.05128205128205,0.221714285714286,0.330285714285714,0.235428571428571,0.885410513880685,0.872236958443855,0.879883381924198,0.00531766327898549,0.0174207253630346,0.069434698868632,1.93485714285714,2.58514285714286,1.96,0.24421906693712,0.508722109533469,0.389452332657201,0.679275439531167,0.685319949811794,0.679144385026738,0.0102435633404647,0.0112528284436341,0.146361513937605,0.761460446247464,1.61663286004057,1.21379310344828,0.0042042042042042,0.107507507507508,0.189189189189189,0.666666666666667,0.781173594132029,0.788448623237072,0.00160989548799282,0.00531386586766811,0.0924994426864597,0.0126126126126126,0.491291291291291,0.894294294294294,0.489528795811518,0.0267015706806283,0.127225130890052,0.73376993166287,0.581967213114754,0.63013698630137,0.0298549632825842,0.0114310761039414,0.0969246856057723,1.83874345549738,0.0638743455497382,0.343979057591623,1
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,0,0,0,1,1,1,-0.00404284647194265,-0.00187770338992523,0,3.57142857142857,0.571428571428571,1.73809523809524,0.144179894179894,0.0648148148148148,0.117724867724868,0.884778012684989,0.854166666666667,0.862442040185471,0.0141091183963452,0.0176201468189926,0.0626915749868805,1.25132275132275,0.444444444444444,0.855820105820106,0.383852052322959,0.63915200721696,0.457374830852503,0.692446693169498,0.665328294756731,0.655570652173913,0.0290560543405866,0.0682894051731092,0.171311098067892,1.24808299503834,1.90978800180424,1.32792061344159,0.0446479679450487,0.307956496851746,0.306239267315398,0.805,0.806474820143885,0.799023290758828,-0.00390917144288943,-0.0170887200552368,0.0973806451047893,0.228963938179737,1.59129937034917,1.52375500858615,0.56923531148509,0.169176262178919,0.339828757012105,0.503860010293361,0.260645161290323,0.368623148656061,0.0838766247458465,0.0767960556890216,0.235041133988398,1.14732801889578,0.228816061411278,0.538234425745498,1
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,0.241405653170359,0.197097020626432,0.210847975553858,0.805777504609711,0.778350515463918,0.794489947877885,0.020537187943111,0.0328577221349283,0.0984842647528262,1.24293353705118,0.889228418640183,1.02597402597403,0.22742474916388,0.236622073578595,0.216555183946488,0.845014245014245,0.830741626794258,0.835555555555556,0.00338545472258756,0.0135639646098995,0.0844170620558336,1.46739130434783,1.39799331103679,1.31688963210702,0.197743148844707,0.45674368619022,0.332616872649113,0.755806237558062,0.746117084826762,0.755335968379447,0.0058528334809744,0.0186987672505207,0.118081088703465,0.809779688339602,1.7990327780763,1.35948414830736,0.00098135426889107,0.159960745829244,0.180569185475957,0.833333333333333,0.879526977087953,0.867721063982746,0.000226266854853866,-0.00505547725479787,0.0692077603260481,0.00588812561334642,1.32777232580962,1.36506378802748,0.462465966549981,0.0917930766238818,0.219758848697005,0.61156484808886,0.436754176610979,0.494180841539839,0.0578576981708399,0.0384171703608238,0.15956877672025,1.19058732010891,0.162971606378841,0.434461299105407,1
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,0.226248775710088,0.317825661116552,0.322722820763957,0.706480304955527,0.703788224554998,0.714965397923876,0.0262106926635015,0.0350981103264134,0.135127158739362,0.770812928501469,1.07296767874633,1.13222331047992,0.232155232155232,0.257796257796258,0.221760221760222,0.820567755757901,0.812405446293495,0.815455594002307,0.00320345675333383,0.0093075260267846,0.0905995062087102,1.29383229383229,1.37422037422037,1.2016632016632,0.201640135069947,0.368065605402798,0.311143270622287,0.74496644295302,0.732468443197756,0.732808616404308,0.00215595151907517,0.0134835625671818,0.124898849867593,0.79064158224795,1.3757838880849,1.16449589966233,0.00416666666666667,0.133333333333333,0.1375,0.916666666666667,0.966942148760331,0.971527178602243,0.00259704340316645,0.0033483773800383,0.0208353902148733,0.05,4.03333333333333,4.82916666666667,0.423970648185895,0.0538116591928251,0.116184264166327,0.670781893004115,0.486381322957198,0.549050632911392,0.0277573187516274,0.0222236627448438,0.0947277979712669,1.28781084386466,0.104769669792091,0.25764370158989,1
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,0.230816077953715,0.246041412911084,0.245432399512789,0.769043266301036,0.729222520107239,0.757228915662651,0.0204775217285245,0.0441382499924378,0.114268480664835,0.999390986601705,0.908647990255785,1.01096224116931,0.236862147753237,0.241431835491241,0.238385376999238,0.831436314363144,0.829661472326706,0.817386231038506,0.00693926419384713,0.00826869752474165,0.0936375487988341,1.40517897943641,1.41736481340442,1.30540746382331,0.202665441176471,0.413143382352941,0.326286764705882,0.734657039711191,0.729705351773903,0.730243161094225,0.00106976690144154,0.00611901139977892,0.124946374007372,0.763786764705882,1.52849264705882,1.20955882352941,0.00210084033613445,0.149159663865546,0.163165266106443,0.769230769230769,0.830278884462151,0.825075075075075,0.000524144900093732,-0.00176033822566935,0.0785026687203565,0.00910364145658263,0.878851540616246,0.932773109243698,0.499118165784832,0.111699000587889,0.242210464432687,0.726040658276864,0.417177914110429,0.553145336225597,0.0636365241001626,0.0694211282860621,0.169057578495237,1.82186948853616,0.191651969429747,0.542034097589653,1
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.145486935866983,0.211401425178147,0.223277909738717,0.769303201506591,0.742588575560376,0.747481531229013,0.0118299206248696,0.0297132312498669,0.112782915445779,0.630641330166271,0.82125890736342,0.884204275534442,0.23298969072165,0.202061855670103,0.172164948453608,0.871663827370812,0.871559633027523,0.891134289439374,0.00774479444457713,0.00734741198161134,0.058884353770266,1.81546391752577,1.57319587628866,1.58144329896907,0.245519713261649,0.398745519713262,0.308243727598566,0.851651326475366,0.855706874189364,0.859189521080639,0.00933252477186207,0.00763901080372088,0.0776090729960383,1.65501792114695,2.76344086021505,2.18906810035842,0,0.216,0.2,1,0.984061393152302,0.983277591973244,-0.003707383625228,0.00067343841033752,0.0128544555278757,0.32,13.552,11.96,0.45787885820376,0.0860988628452077,0.183569273613367,0.435317687464224,0.282398452611219,0.363636363636364,0.034504706429923,0.0237734741754969,0.144609373807895,0.810860988628452,0.119981434207473,0.288466001392434,1
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,0.188646288209607,0.130131004366812,0.158951965065502,0.816013628620102,0.779259259259259,0.810416666666667,0.0252547118595568,0.0336011361590332,0.0843008437616795,1.02532751091703,0.589519650655022,0.838427947598253,0.232023721275019,0.212750185322461,0.192735359525575,0.815773984696881,0.811184210526316,0.810771470160116,0.0114581156278172,0.0137905996475904,0.0891384340131951,1.2594514455152,1.12676056338028,1.01853224610823,0.255348516218081,0.531400966183575,0.330572808833678,0.789413773477519,0.802715859595183,0.811417322834646,0.021235965595315,0.0172562727305971,0.0975807782874833,1.21256038647343,2.6935817805383,1.75293305728088,0.00462962962962963,0.166666666666667,0.185185185185185,0.958333333333333,0.976923076923077,0.972260748959778,0.00149165611380815,-0.00346832996573838,0.0203804557541602,0.111111111111111,7.22222222222222,6.67592592592593,0.471042471042471,0.0805662805662806,0.271557271557272,0.460176991150443,0.189119170984456,0.389467592592593,0.0506170046259431,0.0335600174853492,0.191248301738455,0.872586872586873,0.0993564993564994,0.444787644787645,1
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.156794425087108,0.139372822299652,0.14198606271777,0.8,0.777158774373259,0.789677419354839,0.0312542711381241,0.0372678326975944,0.0846305056769608,0.78397212543554,0.625435540069686,0.675087108013937,0.222811671087533,0.172413793103448,0.222811671087533,0.949910554561717,0.950038431975404,0.942068965517241,0.00379253508998309,0.00347866203429102,0.040041931816504,4.44827586206897,3.45092838196286,3.84615384615385,0.267284991568297,0.432546374367622,0.344856661045531,0.846489104116223,0.849515987092989,0.846586646661665,0.00736574747680978,0.00605432104848079,0.0835248512267863,1.74114671163575,2.8743676222597,2.24789207419899,0.0181268882175227,0.256797583081571,0.18429003021148,0.9,0.960224613944782,0.964902186421174,0.00937532751715793,-0.000412436180698144,0.0241179228374096,0.181268882175227,6.45619335347432,5.25075528700906,0.443716268311488,0.0967617579028527,0.208750963762529,0.34750566893424,0.245112781954887,0.323547782635853,0.0186230373336517,0.016788905092081,0.158738957828195,0.680030840400925,0.128180416345413,0.308596761757903,1
