gauge_code,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,nat_region,flag_ind,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,map
11020050,,PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,,Canal Principal,Caribe,Atrato - Darién,Alto Atrato,Andes,Preliminar,54.342,0,45.658,5.7577,-76.2509,0.567272723,0.570909083,1,1,6237.07731
11025010,,MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,,Moniquira,Caribe,Atrato - Darién,Alto Atrato,Andes,Preliminar,0,0,100,5.8783,-76.0843,1.167272687,2.421818256,2,3,2283.184853
11035020,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,,La Chorrera,Caribe,Atrato - Darién,Río Quito,Pacifico,Preliminar,0,0,100,5.6262,-76.7497,3.327272654,4.556363583,5,5,6295.373284
11040010,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,,Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),Pacifico,Preliminar,0,0,100,5.7436,-76.5378,3.327272654,4.556363583,5,5,9773.898915
11045010,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,,0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),Pacifico,Preliminar,0,0,100,5.6906,-76.6438,3.327272654,4.556363583,5,5,7661.135244
11050010,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,,Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),Pacifico,Preliminar,0,0,100,6.2218,-76.727,0.585454524,0.803636372,1,1,7480.846334
11050060,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,,Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),Pacifico,Preliminar,0,0,100,6.1083,-76.9156,1.080000043,1.578181863,2,2,5300.749268
11060010,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,,Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),Pacifico,Definitivo,97.408,0,2.592,6.42,-76.7793,0.574545443,0.789090931,1,1,5027.420943
11070020,Preliminar,ROBLE EL [11070020],Pluviométrica,Convencional,Activa,Antioquia,Urrao,6.3322,-76.2286,250,3/15/1977,,Penderisco,Caribe,Atrato - Darién,Río Murrí,Andes,Preliminar,0,0,100,6.3322,-76.2286,1.770909071,2.338181734,3,3,1958.339321
11070030,Preliminar,CLARITA LA [11070030],Pluviométrica,Convencional,Activa,Antioquia,Urrao,6.5394,-76.1586,2150,3/15/1977,,Mogoticos,Caribe,Atrato - Darién,Río Murrí,Andes,Preliminar,0,11.612,88.388,6.5394,-76.1586,1.447272778,1.723636389,2,2,3640.55288
11080010,Preliminar,BELLAVISTA [11080010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Bojayá (Bellavista),6.5592,-76.8854,15,7/14/1966 19:00,,0,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),Pacifico,Preliminar,0,0,100,6.5592,-76.8854,0.592727244,0.818181813,1,1,4824.53522
11090010,,OPOGADO [11090010],Pluviométrica,Convencional,Activa,Chocó,Bojayá (Bellavista),6.8125,-76.9727,50,4/15/1977,,Chicamocha,Caribe,Atrato - Darién,Río Napipí - Río Opogadó,Pacifico,Preliminar,65.5,0,34.5,6.8125,-76.9727,0.596363664,0.825454533,1,1,4792.663888
11110010,,NORMAL SANTA TERESA [11110010],Pluviométrica,Convencional,Activa,Antioquia,Frontino,6.7633,-76.1336,1370,1/15/1969,,Chicamocha,Caribe,Atrato - Darién,Río Sucio,Andes,Preliminar,0,0,100,6.7633,-76.1336,2.014545441,2.374545336,3,3,2494.231913
11110020,Definitivo,ABRIAQUI [11110020],Pluviográfica,Automática con Telemetría,Activa,Antioquia,Abriaquí,6.6425,-76.075,1920,12/14/1974 19:00,,0,Caribe,Atrato - Darién,Río Sucio,Andes,Definitivo,99.51,0,0.49,6.6425,-76.075,1.447272778,1.723636389,2,2,2454.163117
11110030,Preliminar,FUEMIA [11110030],Pluviométrica,Convencional,Activa,Antioquia,Frontino,6.8581,-76.2522,905,3/15/1977,,La Colorada,Caribe,Atrato - Darién,Río Sucio,Andes,Preliminar,0,0,100,6.8581,-76.2522,0.585454524,0.821818173,1,1,1106.258427
11115020,Definitivo,CAÑASGORDAS  - AUT [11115020],Climática Ordinaria,Automática con Telemetría,Activa,Antioquia,Cañasgordas,6.758,-76.0297,1294,7/14/1973 19:00,,0,Caribe,Atrato - Darién,Río Sucio,Andes,Definitivo,73.671,0,26.329,6.758,-76.0297,2.014545441,2.374545336,3,3,2259.061723
11115040,,MUSINGA [11115040],Climática Ordinaria,Convencional,Activa,Antioquia,Frontino,6.778,-76.2033,1396,8/15/1984,,Opon,Caribe,Atrato - Darién,Río Sucio,Andes,Preliminar,0,0,100,6.778,-76.2033,2.014545441,2.374545336,3,3,2077.688994
11120040,,RIOSUCIO [11120040],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Riosucio (Choco),7.4394,-77.1153,8,9/14/1960 19:00,,0,Caribe,Atrato - Darién,Río Sucio,Pacifico,Preliminar,0,0,100,7.4394,-77.1153,0.581818163,0.800000012,1,1,1928.652722
11135030,,UNGUIA - AUT [11135030],Climática Principal,Automática con Telemetría,Activa,Chocó,Unguía,8.0367,-77.0879,14,9/23/2005 19:00,,0,Caribe,Atrato - Darién,Río Tanela y otros Directos al Caribe,Pacifico,Preliminar,0,0,100,8.0367,-77.0879,1.163636327,1.381818175,2,2,1741.375429
11150020,Preliminar,TANELA [11150020],Pluviométrica,Convencional,Activa,Chocó,Unguía,8.1629,-77.0404,2,11/15/1974,,Canal Buena Espe,Caribe,Atrato - Darién,Río Tanela y otros Directos al Caribe,Pacifico,Preliminar,0,0,100,8.1629,-77.0404,1.163636327,1.381818175,2,2,2241.135344
11150030,Preliminar,ACANDI [11150030],Pluviométrica,Convencional,Activa,Chocó,Acandí,8.5308,-77.2769,2,4/15/1980,,Nuevo Presidente,Caribe,Atrato - Darién,Río Tolo y otros Directos al Caribe,Pacifico,Preliminar,0,0,100,8.5308,-77.2769,0.574545443,0.800000012,1,1,2384.154324
12010030,Preliminar,BARRANQUILLITA [12010030],Pluviométrica,Convencional,Activa,Antioquia,Chigorodó,7.57,-76.7,18,12/15/1974,,0,Caribe,Caribe - Litoral,Río León,Caribe,Preliminar,0,0,100,7.57,-76.7,1.778181791,2.861818075,3,5,2920.461817
