date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3,r_chirps_v3,B_chirps_v3,G_chirps_v3,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3,kge_chirp_v3_scale,r_chirp_v3_scale,B_chirp_v3_scale,G_chirp_v3_scale,kge_chirps_v3_scale,r_chirps_v3_scale,B_chirps_v3_scale,G_chirps_v3_scale
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,2.23272728919983,2.90181827545166,4,4,0.79347825050354,0.938405811786652,1,1,0.153202108192001,0.262217030308681,0.779317069665585,0.647804026906971,0.202969836981213,0.235832333454225,0.992619197665826,0.773614528017713,0.488174267735123,0.682066827027251,0.970925096575639,0.599951593275486,0.535244587483116,0.685446832684315,1.07318711577411,0.665788174236642,80.5566906476827,84.656608432646,56.4995936516869,56.3735625520464,0.180327197914512,0.220007312364475,0.989752656827141,0.748266208721031,0.498112159224856,0.655031527328478,1.06814126429746,0.641886993142447
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,1.16727268695831,2.42181825637817,2,3,0.590579688549042,0.800724625587463,1,1,0.175660876244304,0.289317820072933,1.1242019491204,0.60120217412439,0.195666999071143,0.231375464756802,0.955425607028333,0.767231824132663,0.487408809854687,0.683816634720939,1.13639958282662,0.620298852332361,0.480077824647186,0.581598513910477,1.04706821061773,0.6949691025307,34.5088484090749,36.2434822649409,24.7648809920794,27.3987348688565,0.191879876775248,0.230130889229774,0.920021661363539,0.767700298769883,0.481436549257,0.580411465916212,1.0082683859497,0.695393453278344
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.5672727227211,0.570909082889557,1,1,0.56521737575531,0.568840563297272,1,1,0.161490505593872,0.268383866786806,0.736220446462343,0.686541305804309,0.213313068921124,0.242742238719201,0.90527127474546,0.80904587168133,0.373174050545848,0.527133299071524,0.834916573419606,0.623097736368441,0.549497418958862,0.663421367212702,1.07971780029774,0.711361000917322,81.0150883502945,83.848298472058,67.4270369635246,58.4930450131063,0.178310311543632,0.222736564946389,0.921303195734844,0.7453584683469,0.502705268320394,0.647979909485703,1.0859397916427,0.659414829678381
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,1.16727268695831,2.42181825637817,2,3,0.572463750839233,0.826086938381195,1,1,0.191028193611051,0.35096873736795,1.36576224982385,0.684703662783343,0.303926510378087,0.326674140378799,1.13187345360222,0.882697050528045,0.440277837428271,0.715040607864079,1.39363600716586,0.722263185785501,0.517112728208439,0.629586074093264,1.23905661749569,0.80295793752557,27.4091531779046,26.4608337519872,21.1010677868464,20.7589051812117,0.300421433868455,0.31760675696661,1.09675147211091,0.880046739529884,0.525811687989723,0.619798790404679,1.20157584034986,0.800829781200454
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,3.32727265357971,4.55636358261108,5,5,0.568840563297272,0.789855062961578,1,1,0.214094808756034,0.313632682528011,1.04336113650326,0.619649257958308,0.247803287864156,0.287966762521723,1.10319847957604,0.780549239492383,0.446976957746591,0.66541586059702,1.25054922568996,0.637904674941332,0.51741594255133,0.65678327744012,1.18226202110682,0.71387029248795,56.8691215676055,63.6002658513242,48.232206358633,46.7277201703943,0.244609919095334,0.282749326288675,1.07681539302221,0.77580133634508,0.511066565803947,0.636199629659752,1.15905442887099,0.714681086726506
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,3.32727265357971,4.55636358261108,5,5,0.880434811115265,0.989130437374115,1,1,0.113680893946018,0.280191397563664,0.590770147092749,0.683822737843961,0.218070970630761,0.233301097825713,0.950452953176431,0.854635318849016,0.401196457095915,0.571769048832427,0.75788874186833,0.658582258600259,0.478033712126899,0.560893747089237,1.05219677154926,0.722673475176773,107.275923682364,101.864623690522,82.7730586664901,76.8554787486618,0.204261070926948,0.225083007940388,0.937634541911717,0.830251220042528,0.44587613382536,0.535597064315277,1.0402166078227,0.700390592859678
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,3.32727265357971,4.55636358261108,5,5,0.945652186870575,0.996376812458038,1,1,0.247186600755984,0.333051425812019,0.858702524384192,0.680715429664148,0.276711140601682,0.293446727880032,1.06325761875348,0.858834418302739,0.560905975895902,0.694494601670381,1.08086114421338,0.695153335343988,0.60613570488376,0.713771397956074,1.1484179878475,0.773782469241013,61.0337904320838,69.398601729778,44.5909874242983,46.5099502943072,0.280788657899445,0.294970959636757,1.02969452276174,0.861013518036753,0.616839407638059,0.711688649389744,1.11606065803212,0.775905090853018
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.585454523563385,0.803636372089386,1,1,0.583333313465118,0.800724625587463,1,1,0.135403649085277,0.263573742790096,0.647583207377956,0.715385133935599,0.240446334224222,0.259049658061754,0.890518842672849,0.873792875932755,0.422695680756221,0.560300260075018,0.794136272420965,0.687646768233957,0.475047967340826,0.538653807924166,1.00509006441904,0.749583509140599,83.97066466186,82.546844798907,66.1113853515364,64.6725290763085,0.228931712147871,0.255756845543485,0.879741895567686,0.83817781396182,0.44790452877991,0.524716398365054,0.994341660942003,0.719139019161165
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,1.08000004291534,1.57818186283112,2,2,0.52173912525177,0.789855062961578,1,1,0.204282191941185,0.307726952813306,0.923411480358894,0.615215570923201,0.246784767989897,0.292008910674977,0.931602000064784,0.752202669963411,0.409975322317124,0.580174728165344,1.12552026289568,0.604879100772512,0.452003572741347,0.579680217982605,1.05944488863274,0.653448892155085,62.2733697474945,65.5617179582874,52.5895327484245,51.8920605434983,0.222490031640774,0.275770134237338,0.930579472229575,0.725785407464451,0.407007096377939,0.539223693556767,1.06238113075849,0.631985905579762
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.574545443058014,0.789090931415558,1,1,0.572463750839233,0.786231875419617,1,1,0.0927308083513565,0.23538225612729,0.961784100217596,0.513135915399779,0.111828516243435,0.197058418332382,0.971616303202184,0.621413462014915,0.311957974305495,0.54315684063834,1.13881268602495,0.504593908934507,0.367735278206594,0.556421229079989,1.08064014214853,0.556723878504773,68.1826498907348,71.9359411999308,57.821048646651,56.6813541537292,0.0983512818937273,0.189889189905978,0.959329730800769,0.606252853426525,0.352704176146391,0.546412247824361,1.06555688167034,0.542886961550829
