date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,PODv2_i5,PODv3_i5,PODv2s_i5,PODv3s_i5,FARv2_i5,FARv3_i5,FARv2s_i5,FARv3s_i5,ETSv2_i5,ETSv3_i5,ETSv2s_i5,ETSv3s_i5,fBIASv2_i5,fBIASv3_i5,fBIASv2s_i5,fBIASv3s_i5,PODv2_i4,PODv3_i4,PODv2s_i4,PODv3s_i4,FARv2_i4,FARv3_i4,FARv2s_i4,FARv3s_i4,ETSv2_i4,ETSv3_i4,ETSv2s_i4,ETSv3s_i4,fBIASv2_i4,fBIASv3_i4,fBIASv2s_i4,fBIASv3s_i4,PODv2_i3,PODv3_i3,PODv2s_i3,PODv3s_i3,FARv2_i3,FARv3_i3,FARv2s_i3,FARv3s_i3,ETSv2_i3,ETSv3_i3,ETSv2s_i3,ETSv3s_i3,fBIASv2_i3,fBIASv3_i3,fBIASv2s_i3,fBIASv3s_i3,PODv2_i2,PODv3_i2,PODv2s_i2,PODv3s_i2,FARv2_i2,FARv3_i2,FARv2s_i2,FARv3s_i2,ETSv2_i2,ETSv3_i2,ETSv2s_i2,ETSv3s_i2,fBIASv2_i2,fBIASv3_i2,fBIASv2s_i2,fBIASv3s_i2,PODv2_i1,PODv3_i1,PODv2s_i1,PODv3s_i1,FARv2_i1,FARv3_i1,FARv2s_i1,FARv3s_i1,ETSv2_i1,ETSv3_i1,ETSv2s_i1,ETSv3s_i1,fBIASv2_i1,fBIASv3_i1,fBIASv2s_i1,fBIASv3s_i1,id
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,0.974647887323944,0.980281690140845,0.935915492957746,0.937323943661972,0.116219667943806,0.116190476190476,0.118115461181155,0.119126406353408,0.158865962086898,0.164212520451219,0.12024141499522,0.116107782054844,1.10281690140845,1.10915492957746,1.0612676056338,1.06408450704225,0.122950819672131,0.114754098360656,0.147540983606557,0.0819672131147541,0.754098360655738,0.708333333333333,0.834862385321101,0.857142857142857,0.0642547439486494,0.0686311787072243,0.0486403676752202,0.0273858467758458,0.5,0.39344262295082,0.89344262295082,0.573770491803279,0.09375,0.09375,0.140625,0.109375,0.777777777777778,0.777777777777778,0.775,0.890625,0.0590367685137235,0.0590367685137235,0.0797622124579995,0.0381903403301406,0.421875,0.421875,0.625,1,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0.5,0.75,,0.75,0.0758928571428571,0.0648596321393998,0,0.108239095315024,0.166666666666667,0.333333333333333,0,0.666666666666667,0,0.0263157894736842,0,0.0263157894736842,,0.5,,0.666666666666667,0,0.0244930861288522,0,0.0233191180473641,0,0.0526315789473684,0,0.0789473684210526,1
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,0.753374233128834,0.699386503067485,0.63558282208589,0.523926380368098,0.320044296788483,0.309090909090909,0.41002277904328,0.412654745529574,0.257112880500312,0.246961243059629,0.115619030587776,0.0913978794754114,1.1079754601227,1.01226993865031,1.07730061349693,0.892024539877301,0.332460732984293,0.410994764397906,0.358638743455497,0.348167539267016,0.723311546840959,0.672916666666667,0.745353159851301,0.75,0.0347292973707259,0.0778685526155347,0.0195723340530752,0.0156167439675923,1.20157068062827,1.2565445026178,1.40837696335079,1.39267015706806,0.26007326007326,0.278388278388278,0.201465201465201,0.194139194139194,0.72156862745098,0.699604743083004,0.753363228699552,0.78714859437751,0.0697942451508127,0.0839881620573528,0.0451153765141907,0.0279262918608638,0.934065934065934,0.926739926739927,0.816849816849817,0.912087912087912,0.114754098360656,0.0491803278688525,0.0491803278688525,0.0983606557377049,0.82051282051282,0.931818181818182,0.823529411764706,0.915492957746479,0.0607601448271769,0.0137401641119426,0.0319170530110504,0.027431787593295,0.639344262295082,0.721311475409836,0.278688524590164,1.16393442622951,0,0.176,0,0.184,,0.592592592592593,,0.701298701298701,0,0.117208046058711,0,0.0992437212124171,0,0.432,0,0.616,1
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.92797783933518,0.953831948291782,0.87719298245614,0.881809787626962,0.294241573033708,0.307640750670241,0.303008070432869,0.314429289303661,0.129177247333672,0.101109504370193,0.096950103221283,0.0721283919232357,1.31486611265005,1.37765466297322,1.25854108956602,1.28624192059095,0.185483870967742,0.104838709677419,0.181451612903226,0.100806451612903,0.703225806451613,0.765765765765766,0.778325123152709,0.827586206896552,0.0682693142675196,0.0296381126889601,0.0388686671211205,0.00948647479806364,0.625,0.44758064516129,0.818548387096774,0.584677419354839,0.0751173708920188,0.0751173708920188,0.07981220657277,0.0845070422535211,0.764705882352941,0.644444444444445,0.804597701149425,0.804347826086957,0.0283064219664621,0.0432321744932471,0.0213744426449123,0.0224106602059358,0.31924882629108,0.211267605633803,0.408450704225352,0.431924882629108,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.113636363636364,0.777777777777778,0.75,0.666666666666667,0.761904761904762,0.0346895074946467,0.0190584114556506,0.020041028878018,0.074728757771547,0.204545454545455,0.0909090909090909,0.0681818181818182,0.477272727272727,0,0,0,0,,1,,1,0,-0.00228648285137861,0,-0.00282045326343033,0,0.0588235294117647,0,0.0735294117647059,1
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,0.815018315018315,0.752747252747253,0.646520146520147,0.518315018315018,0.458637469586375,0.433103448275862,0.565270935960591,0.554330708661417,0.266846720682871,0.276926218747265,0.115662840069193,0.106927702919558,1.50549450549451,1.32783882783883,1.48717948717949,1.16300366300366,0.35871743486974,0.418837675350701,0.372745490981964,0.386773547094188,0.651750972762646,0.606403013182674,0.671957671957672,0.664930555555556,0.0355125029120999,0.0741224932784095,0.0213591042511285,0.0274334110715601,1.03006012024048,1.06412825651303,1.13627254509018,1.15430861723447,0.265853658536585,0.287804878048781,0.207317073170732,0.226829268292683,0.606498194945848,0.591695501730104,0.66796875,0.672535211267606,0.0793434787659525,0.091173312028979,0.0417650517513323,0.0427484251538433,0.675609756097561,0.704878048780488,0.624390243902439,0.692682926829268,0.0618556701030928,0.0618556701030928,0.0309278350515464,0.0721649484536082,0.86046511627907,0.872340425531915,0.857142857142857,0.906666666666667,0.0264773828496369,0.0240077867919221,0.0155570771166064,0.0162314590265636,0.443298969072165,0.484536082474227,0.216494845360825,0.77319587628866,0,0.25,0,0.25,,0.59375,,0.697674418604651,0,0.15930256984805,0,0.129881206213829,0,0.615384615384615,0,0.826923076923077,1
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,0.973451327433628,0.968624296057924,0.942880128720837,0.917940466613033,0.214285714285714,0.206851119894598,0.220744680851064,0.214187327823691,0.129642606867554,0.154659748553183,0.0965984773827442,0.110150041374572,1.23893805309735,1.2212389380531,1.20997586484312,1.16814159292035,0.0825242718446602,0.106796116504854,0.101941747572816,0.116504854368932,0.779220779220779,0.763440860215054,0.807339449541285,0.8,0.0289425717205876,0.0392989257292619,0.0265325897375164,0.0316033925686591,0.37378640776699,0.451456310679612,0.529126213592233,0.58252427184466,0.0614035087719298,0.043859649122807,0.0614035087719298,0.0526315789473684,0.810810810810811,0.848484848484848,0.837209302325582,0.909090909090909,0.0314797264414334,0.0195254764683003,0.0274745583125939,0.0085952533675433,0.324561403508772,0.289473684210526,0.37719298245614,0.578947368421053,0,0,0,0,1,1,,1,-0.00108813928182807,-0.00236854571293226,0,-0.00414000752728641,0.111111111111111,0.277777777777778,0,0.611111111111111,0,0.0133333333333333,0,0.0133333333333333,,0.857142857142857,,0.857142857142857,0,0.00846487190425938,0,0.00846487190425938,0,0.0933333333333333,0,0.0933333333333333,1
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,0.953472222222222,0.979166666666667,0.91875,0.940277777777778,0.100262123197903,0.114877589453861,0.104871447902571,0.118489583333333,0.173067494688674,0.104223806911684,0.121964912280702,0.0640753112663224,1.05972222222222,1.10625,1.02638888888889,1.06666666666667,0.145299145299145,0.0512820512820513,0.111111111111111,0.0427350427350427,0.804597701149425,0.857142857142857,0.896825396825397,0.921875,0.0600114192986147,0.0202129971745273,0.0185339953787916,0.00278904665314402,0.743589743589744,0.358974358974359,1.07692307692308,0.547008547008547,0.137931034482759,0.0689655172413793,0.155172413793103,0.137931034482759,0.783783783783784,0.764705882352941,0.823529411764706,0.84,0.0782238631399462,0.0483574920662149,0.073449662448814,0.0636017209588199,0.637931034482759,0.293103448275862,0.879310344827586,0.862068965517241,0.125,0,0,0,0.833333333333333,1,1,1,0.0748603351955307,-0.000537056928034372,-0.000537056928034372,-0.00131926121372032,0.75,0.125,0.125,0.375,0,0,0,0,,1,,1,0,-0.00166339029184939,0,-0.00166339029184939,0,0.0909090909090909,0,0.0909090909090909,1
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,0.969380654140571,0.980514961725818,0.935281837160752,0.931802366040362,0.0919165580182529,0.0915538362346873,0.100401606425703,0.103148024112525,0.250605415718794,0.270743477956776,0.163730221075076,0.147046018947175,1.06750173973556,1.07933194154489,1.03966597077244,1.03897007654836,0.152,0.104,0.136,0.088,0.756410256410256,0.786885245901639,0.852173913043478,0.870588235294118,0.073618259118371,0.0498560224913309,0.0388179638390253,0.0238022820841656,0.624,0.488,0.92,0.68,0.217948717948718,0.205128205128205,0.141025641025641,0.166666666666667,0.585365853658537,0.542857142857143,0.760869565217391,0.796875,0.150584742387487,0.150511076490481,0.0796992481203008,0.0792591740480847,0.525641025641026,0.448717948717949,0.58974358974359,0.82051282051282,0.111111111111111,0,0.111111111111111,0.222222222222222,0.666666666666667,1,0,0.777777777777778,0.0895596239485403,-0.0016750418760469,0.110574018126888,0.122316865417376,0.333333333333333,0.444444444444444,0.111111111111111,1,0,0,0,0,,1,,1,0,-0.00176437969451026,0,-0.00176437969451026,0,0.714285714285714,0,0.714285714285714,1
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.938485804416404,0.954258675078864,0.889589905362776,0.903785488958991,0.17590027700831,0.186827956989247,0.186147186147186,0.194092827004219,0.202552796472499,0.173711597405375,0.143605575825615,0.125608940682014,1.13880126182965,1.17350157728707,1.09305993690852,1.12145110410095,0.151315789473684,0.0986842105263158,0.144736842105263,0.0855263157894737,0.783018867924528,0.8125,0.855263157894737,0.875,0.0589093092577899,0.0365215788382221,0.0300255920412356,0.0147956544231764,0.697368421052632,0.526315789473684,1,0.68421052631579,0.152941176470588,0.141176470588235,0.164705882352941,0.152941176470588,0.855555555555556,0.835616438356164,0.866666666666667,0.871287128712871,0.0532495338075834,0.0580164791082094,0.0504687981141893,0.0465738045289184,1.05882352941176,0.858823529411765,1.23529411764706,1.18823529411765,0,0,0,0.142857142857143,1,1,1,0.956521739130435,-0.0029492310933221,-0.00238338440585632,-0.00275515456114324,0.0312349831811629,2.28571428571429,1.28571428571429,1.85714285714286,3.28571428571429,0,0.0138888888888889,0,0.0138888888888889,,0.666666666666667,,0.666666666666667,0,0.0100235849056604,0,0.0100235849056604,0,0.0416666666666667,0,0.0416666666666667,1
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,0.937725631768953,0.93231046931408,0.889891696750903,0.861913357400722,0.272918124562631,0.264245014245014,0.283950617283951,0.286781179985063,0.15295155991602,0.17347514301829,0.111955744552741,0.0991429787061613,1.28971119133574,1.26714801444043,1.2427797833935,1.20848375451264,0.135922330097087,0.116504854368932,0.111650485436893,0.106796116504854,0.774193548387097,0.827338129496403,0.854430379746835,0.8625,0.0438799076212471,0.0220900223087354,0.0104106376421597,0.00646911519198665,0.601941747572815,0.674757281553398,0.766990291262136,0.776699029126214,0.1,0.0846153846153846,0.0846153846153846,0.0538461538461539,0.848837209302326,0.872093023255814,0.89622641509434,0.9375,0.0318411756741787,0.0214316174230886,0.0123627445515858,-0.00792311799252536,0.661538461538462,0.661538461538462,0.815384615384615,0.861538461538462,0,0,0,0,1,1,1,1,-0.00300315457413249,-0.00305276929786306,-0.00289041209018086,-0.00346031796654494,2.42857142857143,2.57142857142857,2.14285714285714,4.42857142857143,0,0.024390243902439,0,0.0341463414634146,,0.444444444444444,,0.5,0,0.0186923217693655,0,0.0250486786405592,0,0.0439024390243902,0,0.0682926829268293,1
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.92299794661191,0.916837782340862,0.879876796714579,0.837782340862423,0.339941262848752,0.332585949177877,0.361400894187779,0.358490566037736,0.153982018528437,0.167769229887298,0.101067993031535,0.0995153885393641,1.39835728952772,1.37371663244353,1.37782340862423,1.30595482546201,0.130252100840336,0.15546218487395,0.117647058823529,0.109243697478992,0.808641975308642,0.771604938271605,0.835294117647059,0.864583333333333,0.0223228321700308,0.0403788315095668,0.0100336265751843,-0.00423533035576775,0.680672268907563,0.680672268907563,0.714285714285714,0.80672268907563,0.0991735537190083,0.0785123966942149,0.119834710743802,0.115702479338843,0.771428571428571,0.815533980582524,0.776923076923077,0.766666666666667,0.0281346790244132,0.0126968714194162,0.030871422500876,0.0330646638578494,0.433884297520661,0.425619834710744,0.537190082644628,0.495867768595041,0.0377358490566038,0.0566037735849057,0.0377358490566038,0.0377358490566038,0.925925925925926,0.916666666666667,0.857142857142857,0.96078431372549,0.0147255689424364,0.0217781193953369,0.0240416097588355,0.00366406151291446,0.509433962264151,0.679245283018868,0.264150943396226,0.962264150943396,0,0.0335570469798658,0,0.0268456375838926,,0.705882352941177,,0.80952380952381,0,0.0217620975223699,0,0.0128602810495756,0,0.114093959731544,0,0.140939597315436,1
